seed,percent of training data,normal shots,domain shift,classification AUROC,pixel level AUROC,per-region-overlap (PRO) AUROC
24915,55,285,mean,83.325000,90.650549,88.850000
29297,70,363,same,85.700000,92.964656,89.400000
29297,70,363,background,87.200000,89.850804,90.600000
29297,70,363,illumination,88.600000,92.597881,90.600000
29297,70,363,view,78.800000,88.309537,86.100000
29297,70,363,mean,85.075000,90.930719,89.175000
23659,70,363,same,83.900000,92.888447,89.400000
23659,70,363,background,86.000000,89.761504,90.900000
23659,70,363,illumination,87.900000,92.588184,90.500000
23659,70,363,view,78.000000,88.115208,85.900000
23659,70,363,mean,83.950000,90.838336,89.175000
10448,70,363,same,85.200000,92.947685,89.500000
10448,70,363,background,86.400000,89.195220,90.500000
10448,70,363,illumination,89.000000,92.525412,90.400000
10448,70,363,view,79.000000,88.664704,86.200000
10448,70,363,mean,84.900000,90.833255,89.150000
16512,85,441,same,85.000000,92.998985,89.600000
16512,85,441,background,85.700000,89.135973,90.700000
16512,85,441,illumination,89.100000,92.588443,90.300000
16512,85,441,view,79.900000,88.677894,86.400000
16512,85,441,mean,84.925000,90.850324,89.250000
27987,85,441,same,84.400000,93.017283,89.500000
27987,85,441,background,85.300000,88.616778,90.300000
27987,85,441,illumination,89.800000,92.611312,90.200000
27987,85,441,view,78.700000,88.507046,86.100000
27987,85,441,mean,84.550000,90.688105,89.025000
3203,100,521,same,85.400000,93.220429,89.700000
3203,100,521,background,85.000000,87.318255,90.400000
3203,100,521,illumination,89.700000,92.703584,90.300000
3203,100,521,view,80.200000,88.837208,86.400000
3203,100,521,mean,85.075000,90.519869,89.200000
13114,100,521,same,85.600000,93.107879,89.600000
13114,100,521,background,84.600000,88.163842,89.900000
13114,100,521,illumination,88.100000,92.699739,90.200000
13114,100,521,view,79.900000,88.691903,86.300000
13114,100,521,mean,84.550000,90.665841,89.000000
15356,100,521,same,85.800000,93.168047,89.600000
15356,100,521,background,84.400000,88.304706,90.500000
15356,100,521,illumination,88.500000,92.532752,90.300000
15356,100,521,view,79.100000,88.586164,86.300000
15356,100,521,mean,84.450000,90.647917,89.175000
